"","acceptedScientificName","lat","lon"
"98","Senegalia greggii Britton & Rose",33.718014,-115.811261
"99","Senegalia greggii Britton & Rose",33.025178,-114.767988
"100","Senegalia greggii Britton & Rose",33.023925,-114.771357
"101","Senegalia greggii Britton & Rose",32.866658,-114.765563
"102","Senegalia kraussiana (Meisn. ex Benth.) Kyal. & Boatwr.",-28.2938,32.463
"103","Senegalia mellifera (Vahl) Seigler & Ebinger",-28.576167,21.007292
"104","Senegalia greggii Britton & Rose",32.880157,-114.764904
"105","Senegalia mellifera (Vahl) Seigler & Ebinger",-28.539622,20.962406
"106","Senegalia mellifera (Vahl) Seigler & Ebinger",-28.623608,21.044272
"107","Senegalia bonariensis (Gillies) Seigler & Ebinger",-34.607953,-58.352751
"108","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-26.294572,27.010017
"109","Senegalia mellifera (Vahl) Seigler & Ebinger",-25.564938,23.277353
"110","Senegalia mellifera (Vahl) Seigler & Ebinger",-25.645486,23.439142
"111","Senegalia gilliesii (Steud.) Seigler & Ebinger",-30.754186,-66.219254
"112","Senegalia tenuifolia (L.) Britton & Rose",10.35462,-75.42716
"115","Senegalia tenuifolia (L.) Britton & Rose",10.35486,-75.42695
"116","Senegalia tenuifolia (L.) Britton & Rose",10.35489,-75.42695
"119","Senegalia tenuifolia (L.) Britton & Rose",10.35493,-75.42697
"123","Senegalia tenuifolia (L.) Britton & Rose",10.35499,-75.42698
"125","Senegalia polyphylla Britton & Rose ex Britton & Killip",-22.9505,-52.7655
"126","Senegalia mellifera (Vahl) Seigler & Ebinger",-24.745851,16.90906
"127","Senegalia berlandieri Britton & Rose",27.575668,-99.430589
"128","Senegalia greggii Britton & Rose",32.837601,-116.207737
"129","Senegalia greggii Britton & Rose",33.834469,-116.306064
"130","Senegalia greggii Britton & Rose",33.778458,-116.545947
"131","Senegalia greggii Britton & Rose",33.83253,-116.310803
"132","Senegalia greggii Britton & Rose",33.667655,-116.403253
"133","Senegalia roemeriana Britton & Rose",29.479612,-98.708838
"134","Senegalia greggii Britton & Rose",33.807667,-112.840875
"135","Senegalia berlandieri Britton & Rose",25.694478,-100.397757
"136","Senegalia burkei (Benth.) Kyal. & Boatwr.",-26.156439,31.98236
"137","Senegalia greggii Britton & Rose",33.738014,-116.537286
"138","Senegalia roemeriana Britton & Rose",29.624244,-98.583925
"139","Senegalia berlandieri Britton & Rose",28.408879,-97.821648
"140","Senegalia berlandieri Britton & Rose",26.54872,-98.039844
"141","Senegalia greggii Britton & Rose",33.623773,-116.264289
"142","Senegalia greggii Britton & Rose",33.642259,-116.383876
"143","Senegalia greggii Britton & Rose",33.650494,-115.982083
"144","Senegalia berlandieri Britton & Rose",26.837858,-98.855475
"145","Senegalia roemeriana Britton & Rose",29.884785,-98.266419
"146","Senegalia roemeriana Britton & Rose",29.617392,-98.631233
"147","Senegalia greggii Britton & Rose",35.241322,-114.676353
"148","Senegalia berlandieri Britton & Rose",26.5243,-98.077911
"149","Senegalia greggii Britton & Rose",33.6701,-116.406783
"150","Senegalia roemeriana Britton & Rose",29.704353,-98.404154
"151","Senegalia bonariensis (Gillies) Seigler & Ebinger",-32.527338,-58.037911
"152","Senegalia roemeriana Britton & Rose",29.624774,-98.580145
"153","Senegalia greggii Britton & Rose",33.989562,-116.49694
"154","Senegalia roemeriana Britton & Rose",29.62093,-98.630675
"155","Senegalia greggii Britton & Rose",33.780108,-116.49286
"156","Senegalia greggii Britton & Rose",33.827203,-116.152008
"157","Senegalia greggii Britton & Rose",32.452225,-111.492492
"158","Senegalia roemeriana Britton & Rose",29.620752,-98.630698
"159","Senegalia greggii Britton & Rose",33.647063,-116.332939
"160","Senegalia greggii Britton & Rose",27.572355,-99.428467
"161","Senegalia berlandieri Britton & Rose",28.710718,-100.462296
"162","Senegalia roemeriana Britton & Rose",29.524438,-98.432542
"163","Senegalia greggii Britton & Rose",33.749706,-116.539737
"164","Senegalia greggii Britton & Rose",33.985258,-116.652984
"165","Senegalia kraussiana (Meisn. ex Benth.) Kyal. & Boatwr.",-28.212287,32.491812
"166","Senegalia greggii Britton & Rose",33.718222,-116.405281
"167","Senegalia greggii Britton & Rose",33.728055,-112.872659
"168","Senegalia roemeriana Britton & Rose",29.588842,-98.546052
"169","Senegalia roemeriana Britton & Rose",29.63634,-98.447803
"170","Senegalia roemeriana Britton & Rose",29.883408,-98.494386
"171","Senegalia greggii Britton & Rose",31.938897,-116.138053
"172","Senegalia greggii Britton & Rose",34.830058,-116.804897
"173","Senegalia roemeriana Britton & Rose",29.399446,-103.202503
"174","Senegalia greggii Britton & Rose",33.139903,-116.26783
"175","Senegalia greggii Britton & Rose",27.658783,-98.208344
"176","Senegalia roemeriana Britton & Rose",29.689086,-101.318094
"177","Senegalia greggii Britton & Rose",33.598265,-116.306078
"178","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-25.694844,28.231532
"179","Senegalia greggii Britton & Rose",32.915463,-116.243687
"180","Senegalia greggii Britton & Rose",33.655601,-115.719566
"181","Senegalia greggii Britton & Rose",29.214683,-103.377405
"182","Senegalia greggii Britton & Rose",28.341162,-111.321755
"183","Senegalia greggii Britton & Rose",33.982277,-116.480106
"184","Senegalia greggii Britton & Rose",33.834145,-116.305849
"185","Senegalia bonariensis (Gillies) Seigler & Ebinger",-30.547824,-56.320707
"186","Senegalia greggii Britton & Rose",33.597519,-115.964692
"187","Senegalia greggii Britton & Rose",33.822891,-116.325423
"188","Senegalia greggii Britton & Rose",27.57282,-99.428612
"189","Senegalia greggii Britton & Rose",33.702992,-116.398919
"190","Senegalia greggii Britton & Rose",33.676279,-116.31614
"191","Senegalia roemeriana Britton & Rose",29.595893,-98.596
"192","Senegalia pervillei (Benth.) Boatwr.",-16.318387,46.813317
"193","Senegalia roemeriana Britton & Rose",29.71749,-98.144878
"194","Senegalia roemeriana Britton & Rose",29.880913,-98.614589
"195","Senegalia greggii Britton & Rose",33.597964,-115.964578
"196","Senegalia greggii Britton & Rose",33.669839,-116.406416
"197","Senegalia greggii Britton & Rose",32.633975,-116.094642
"198","Senegalia roemeriana Britton & Rose",29.592432,-98.540863
"199","Senegalia roemeriana Britton & Rose",30.05967,-98.865308
"200","Senegalia mellifera subsp. detinens (Burch.) Kyal. & Boatwr.",-27.665616,20.192094
"201","Senegalia sakalava (Drake) Boatwr.",-16.33468,46.789207
"202","Senegalia berlandieri Britton & Rose",27.575389,-99.431028
"203","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-25.76894,28.487683
"204","Senegalia nigrescens (Oliv.) P.J.H.Hurter",-24.99447,31.593715
"205","Senegalia roemeriana Britton & Rose",29.635063,-99.191488
"206","Senegalia greggii Britton & Rose",33.644706,-111.113775
"207","Senegalia burkei (Benth.) Kyal. & Boatwr.",-24.141637,32.174757
"208","Senegalia ataxacantha (DC.) Kyal. & Boatwr.",-25.79791,27.91296
"209","Senegalia berlandieri Britton & Rose",29.585679,-99.737781
"210","Senegalia bonariensis (Gillies) Seigler & Ebinger",-27.466111,-48.378056
"211","Senegalia berlandieri Britton & Rose",29.58196,-99.72889
"212","Senegalia polyphylla Britton & Rose ex Britton & Killip",-23.403122,-51.948517
"213","Senegalia Raf.",-20.129139,-40.835722
"214","Senegalia greggii Britton & Rose",28.261927,-105.482561
"215","Senegalia berlandieri Britton & Rose",26.541645,-98.047371
"216","Senegalia greggii Britton & Rose",32.286045,-110.775013
"217","Senegalia greggii Britton & Rose",35.959342,-114.73925
"218","Senegalia greggii Britton & Rose",33.759662,-116.491877
"219","Senegalia roemeriana Britton & Rose",29.605338,-98.522908
"220","Senegalia greggii Britton & Rose",33.223772,-116.410794
"221","Senegalia greggii Britton & Rose",33.626125,-116.448338
"222","Senegalia greggii Britton & Rose",33.667155,-116.40166
"223","Senegalia greggii Britton & Rose",35.176583,-115.409875
"224","Senegalia greggii Britton & Rose",32.913473,-116.244976
"225","Senegalia galpinii (Burtt Davy) Seigler & Ebinger",-25.790873,28.328243
"226","Senegalia greggii Britton & Rose",32.821444,-116.169203
"227","Senegalia greggii Britton & Rose",33.082573,-116.137193
"228","Senegalia greggii Britton & Rose",33.088313,-116.119129
"229","Senegalia roemeriana Britton & Rose",30.627777,-99.735001
"230","Senegalia berlandieri Britton & Rose",29.106819,-99.747251
"231","Senegalia greggii Britton & Rose",32.776896,-116.117139
"232","Senegalia greggii Britton & Rose",33.778411,-116.232348
"233","Senegalia greggii Britton & Rose",28.659383,-98.11512
"234","Senegalia greggii Britton & Rose",33.834102,-116.305759
"235","Senegalia roemeriana Britton & Rose",29.690445,-98.441607
"236","Senegalia greggii Britton & Rose",33.702175,-116.398517
"237","Senegalia greggii Britton & Rose",33.830158,-116.302537
"238","Senegalia berlandieri Britton & Rose",29.560849,-98.457251
"239","Senegalia greggii Britton & Rose",26.181399,-98.330775
"240","Senegalia greggii Britton & Rose",26.126627,-97.958735
"241","Senegalia greggii Britton & Rose",33.646161,-116.400335
"242","Senegalia greggii Britton & Rose",33.661529,-116.321695
"243","Senegalia greggii Britton & Rose",33.646142,-116.400322
"244","Senegalia greggii Britton & Rose",33.739883,-116.423858
"245","Senegalia greggii Britton & Rose",33.833305,-116.30538
"246","Senegalia greggii Britton & Rose",33.947514,-116.438657
"247","Senegalia roemeriana Britton & Rose",29.635268,-98.449169
"248","Senegalia greggii Britton & Rose",33.962222,-116.443689
"249","Senegalia greggii Britton & Rose",33.839717,-116.561417
"250","Senegalia greggii Britton & Rose",35.830142,-114.6911
"251","Senegalia greggii Britton & Rose",33.82382,-116.326133
"252","Senegalia berlandieri Britton & Rose",27.842601,-98.694284
"253","Senegalia greggii Britton & Rose",33.587798,-115.928372
"254","Senegalia nigrescens (Oliv.) P.J.H.Hurter",-33.580435,22.193107
"255","Senegalia roemeriana Britton & Rose",29.501499,-98.554271
"256","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-25.630662,28.399522
"257","Senegalia greggii Britton & Rose",29.960998,-98.314498
"258","Senegalia greggii Britton & Rose",33.610435,-116.419535
"259","Senegalia greggii Britton & Rose",33.655308,-116.396065
"260","Senegalia roemeriana Britton & Rose",32.379542,-99.728976
"261","Senegalia greggii Britton & Rose",33.822921,-116.325449
"262","Senegalia mellifera (Vahl) Seigler & Ebinger",-24.556286,25.963955
"263","Senegalia greggii Britton & Rose",26.175398,-98.382394
"264","Senegalia roemeriana Britton & Rose",29.558332,-98.563835
"265","Senegalia bonariensis (Gillies) Seigler & Ebinger",-31.661658,-60.760809
"266","Senegalia greggii Britton & Rose",33.946803,-116.439164
"267","Senegalia greggii Britton & Rose",33.666868,-116.403318
"268","Senegalia greggii Britton & Rose",33.82728,-116.158531
"269","Senegalia berlandieri Britton & Rose",30.428302,-97.709085
"270","Senegalia greggii Britton & Rose",34.042452,-116.567437
"271","Senegalia greggii Britton & Rose",33.830058,-116.295463
"272","Senegalia wrightii (Benth.) Britton & Rose",25.801855,-100.574341
"273","Senegalia greggii Britton & Rose",32.833719,-116.179014
"274","Senegalia roemeriana Britton & Rose",29.614572,-98.254286
"275","Senegalia berlandieri Britton & Rose",25.687757,-100.406221
"276","Senegalia greggii Britton & Rose",26.985658,-98.902554
"277","Senegalia wrightii (Benth.) Britton & Rose",26.175355,-98.388439
"278","Senegalia greggii Britton & Rose",33.587315,-115.927519
"279","Senegalia greggii Britton & Rose",32.458534,-104.302075
"280","Senegalia wrightii (Benth.) Britton & Rose",26.175866,-98.385331
"281","Senegalia erubescens (Welw. ex Oliv.) Kyal. & Boatwr.",-24.556196,25.962582
"282","Senegalia greggii Britton & Rose",33.657518,-116.501728
"283","Senegalia greggii Britton & Rose",33.659597,-116.504855
"284","Senegalia greggii Britton & Rose",34.216168,-114.216975
"285","Senegalia greggii Britton & Rose",33.348092,-112.081361
"286","Senegalia greggii Britton & Rose",33.082538,-116.136995
"287","Senegalia ataxacantha (DC.) Kyal. & Boatwr.",-28.938688,30.34038
"288","Senegalia greggii Britton & Rose",33.74213,-111.795135
"289","Senegalia greggii Britton & Rose",33.771617,-116.523284
"290","Senegalia greggii Britton & Rose",33.361835,-111.993126
"291","Senegalia greggii Britton & Rose",32.969384,-116.4381
"292","Senegalia robynsiana (Merxm. & A.Schreib.) Kyal. & Boatwr.",-20.087501,13.880456
"293","Senegalia greggii Britton & Rose",33.339806,-112.043761
"294","Senegalia greggii Britton & Rose",33.758283,-116.43731
"295","Senegalia greggii Britton & Rose",33.68441,-115.445328
"296","Senegalia greggii Britton & Rose",33.69733,-116.450425
"297","Senegalia greggii Britton & Rose",33.991683,-116.664392
"298","Senegalia nigrescens (Oliv.) P.J.H.Hurter",-24.405063,30.813837
"299","Senegalia greggii Britton & Rose",31.61259,-111.045924
"300","Senegalia burkei (Benth.) Kyal. & Boatwr.",-24.407057,30.810995
"301","Senegalia berlandieri Britton & Rose",29.70255,-101.364314
"302","Senegalia wrightii (Benth.) Britton & Rose",26.173451,-98.387978
"303","Senegalia greggii Britton & Rose",28.236422,-105.503751
"304","Senegalia greggii Britton & Rose",33.650826,-116.395073
"305","Senegalia robynsiana (Merxm. & A.Schreib.) Kyal. & Boatwr.",-19.966016,14.179703
"306","Senegalia greggii Britton & Rose",33.93692,-111.713642
"307","Senegalia berlandieri Britton & Rose",25.273152,-103.753037
"308","Senegalia greggii Britton & Rose",32.156919,-109.450773
"309","Senegalia roemeriana Britton & Rose",29.825144,-99.57933
"310","Senegalia greggii Britton & Rose",33.899561,-111.96873
"311","Senegalia greggii Britton & Rose",33.883685,-111.627516
"312","Senegalia greggii Britton & Rose",33.855447,-112.130172
"313","Senegalia greggii Britton & Rose",34.215399,-114.218087
"314","Senegalia greggii Britton & Rose",34.210122,-114.217802
"315","Senegalia berlandieri Britton & Rose",29.719067,-99.696249
"316","Senegalia greggii Britton & Rose",33.978918,-116.081306
"317","Senegalia greggii Britton & Rose",33.746262,-111.760927
"318","Senegalia greggii Britton & Rose",33.933833,-112.694216
"319","Senegalia greggii Britton & Rose",33.330455,-112.46785
"320","Senegalia greggii Britton & Rose",33.466096,-111.468366
"321","Senegalia greggii Britton & Rose",36.406065,-114.571051
"322","Senegalia greggii Britton & Rose",33.754765,-115.821285
"323","Senegalia greggii Britton & Rose",33.734908,-115.806555
"324","Senegalia bonariensis (Gillies) Seigler & Ebinger",-34.607081,-58.358029
"325","Senegalia greggii Britton & Rose",32.555471,-115.947746
"326","Senegalia greggii Britton & Rose",32.667125,-110.732887
"327","Senegalia berlandieri Britton & Rose",29.455869,-99.947647
"328","Senegalia greggii Britton & Rose",33.731787,-113.291337
"329","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-25.629789,28.390636
"330","Senegalia roemeriana Britton & Rose",29.522442,-98.432433
"331","Senegalia roemeriana Britton & Rose",29.575108,-98.71135
"332","Senegalia roemeriana Britton & Rose",29.521135,-98.432418
"333","Senegalia greggii Britton & Rose",33.850028,-115.77748
"334","Senegalia greggii Britton & Rose",33.847063,-115.777663
"335","Senegalia greggii Britton & Rose",29.231833,-98.785805
"336","Senegalia bonariensis (Gillies) Seigler & Ebinger",-28.840278,-51.726389
"337","Senegalia greggii Britton & Rose",34.7088,-112.060286
"339","Senegalia greggii Britton & Rose",34.096153,-116.528855
"340","Senegalia greggii Britton & Rose",34.103591,-116.243487
"341","Senegalia greggii Britton & Rose",33.990081,-99.955589
"342","Senegalia greggii Britton & Rose",34.119417,-116.174088
"343","Senegalia greggii Britton & Rose",33.847671,-116.575884
"344","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",6.982387,2.176989
"345","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",6.983132,2.177033
"346","Senegalia greggii Britton & Rose",24.993278,-103.247728
"347","Senegalia greggii Britton & Rose",24.993866,-103.247124
"348","Senegalia greggii Britton & Rose",31.870281,-116.134553
"349","Senegalia greggii Britton & Rose",34.832241,-111.892459
"350","Senegalia greggii Britton & Rose",29.325379,-103.548354
"351","Senegalia roemeriana Britton & Rose",30.272458,-100.561567
"353","Senegalia greggii Britton & Rose",33.865707,-111.602855
"354","Senegalia greggii Britton & Rose",29.47156,-103.564005
"355","Senegalia wrightii (Benth.) Britton & Rose",26.068657,-98.148844
"356","Senegalia greggii Britton & Rose",33.795,-111.798333
"357","Senegalia greggii Britton & Rose",34.250153,-112.892955
"358","Senegalia roemeriana Britton & Rose",29.873761,-98.482908
"359","Senegalia greggii Britton & Rose",33.598427,-116.431927
"360","Senegalia greggii Britton & Rose",34.239486,-116.431609
"361","Senegalia burkei (Benth.) Kyal. & Boatwr.",-24.406587,30.815525
"362","Senegalia berlandieri Britton & Rose",25.989801,-97.569052
"363","Senegalia greggii Britton & Rose",33.760937,-116.550003
"364","Senegalia greggii Britton & Rose",32.988873,-111.115562
"365","Senegalia roemeriana Britton & Rose",29.236189,-103.226054
"366","Senegalia greggii Britton & Rose",35.708505,-114.779524
"367","Senegalia roemeriana Britton & Rose",30.830992,-100.100953
"368","Senegalia greggii Britton & Rose",33.734992,-115.806678
"369","Senegalia greggii Britton & Rose",34.2246,-112.095277
"370","Senegalia berlandieri Britton & Rose",28.311774,-101.046642
"371","Senegalia greggii Britton & Rose",36.101946,-115.023226
"372","Senegalia greggii Britton & Rose",30.541553,-103.835
"373","Senegalia galpinii (Burtt Davy) Seigler & Ebinger",-25.788088,28.27273
"374","Senegalia greggii Britton & Rose",27.520906,-98.606924
"375","Senegalia roemeriana Britton & Rose",29.567217,-98.582573
"376","Senegalia berlandieri Britton & Rose",29.493827,-101.043634
"377","Senegalia crassifolia Britton & Rose",25.055736,-103.269481
"378","Senegalia greggii Britton & Rose",31.962766,-102.120926
"379","Senegalia greggii Britton & Rose",34.067345,-116.038284
"380","Senegalia berlandieri Britton & Rose",25.537966,-101.094396
"381","Senegalia roemeriana Britton & Rose",29.652341,-99.213131
"382","Senegalia greggii Britton & Rose",34.03868,-116.184463
"383","Senegalia greggii Britton & Rose",26.125441,-97.956879
"384","Senegalia berlandieri Britton & Rose",28.311085,-101.054578
"385","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-25.823611,28.300833
"386","Senegalia greggii Britton & Rose",34.092632,-116.316196
"387","Senegalia wrightii (Benth.) Britton & Rose",29.193508,-99.880358
"388","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-25.815392,27.964228
"389","Senegalia roemeriana Britton & Rose",29.613158,-100.47517
"390","Senegalia berlandieri Britton & Rose",29.34546,-98.885423
"391","Senegalia ataxacantha (DC.) Kyal. & Boatwr.",-25.70333,28.218503
"392","Senegalia berlandieri Britton & Rose",29.809857,-101.559945
"393","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-25.772908,28.302089
"394","Senegalia greggii Britton & Rose",34.681644,-111.724117
"395","Senegalia berlandieri Britton & Rose",29.613294,-100.459519
"396","Senegalia greggii Britton & Rose",32.626994,-116.084039
"397","Senegalia galpinii (Burtt Davy) Seigler & Ebinger",-25.7023,28.2298
"398","Senegalia roemeriana Britton & Rose",29.598169,-100.459867
"399","Senegalia berlandieri Britton & Rose",29.61025,-100.472462
"400","Senegalia greggii Britton & Rose",32.040353,-115.795128
"401","Senegalia ataxacantha (DC.) Kyal. & Boatwr.",-25.694842,28.269142
"402","Senegalia greggii Britton & Rose",33.585682,-116.425464
"403","Senegalia caffra (Thunb.) P.J.H.Hurter & Mabb.",-25.816902,28.291165
"404","Senegalia wrightii (Benth.) Britton & Rose",28.30505,-101.031429
"405","Senegalia wrightii (Benth.) Britton & Rose",26.186512,-98.378738
"406","Senegalia berlandieri Britton & Rose",29.601599,-100.462101
"407","Senegalia greggii Britton & Rose",29.228904,-105.264704
"408","Senegalia greggii Britton & Rose",33.64343,-116.06401
"409","Senegalia gourmaensis (A.Chev.) Kyal. & Boatwr.",10.608892,1.243963
